228,597
233,588
242,582
252,574
260,565
266,555
270,545
277,534
277,522
279,512
284,504
292,494
296,484
302,474
309,470
315,459
318,447
319,435
320,427
318,413
315,402
315,393
315,379
315,362
317,371
318,347
318,331
324,319
319,323
317,339
313,354
330,304
335,293
343,286
350,281
360,276
370,275
378,275
388,276
395,281
402,285
408,291
413,298
416,308
420,315
422,324
425,334
426,343
426,354
427,362
429,372
430,382
431,393
432,404
434,415
436,425
438,435
441,446
446,454
451,463
458,470
464,474
472,481
479,489
483,496
488,505
491,513
496,525
499,536
501,545
502,555
506,565
509,577
511,592
446,469
438,472
431,475
422,481
415,485
408,490
400,497
392,504
386,510
379,518
371,527
363,538
356,548
350,559
345,569
340,580
338,586
333,598
330,604
381,638
373,634
367,630
360,628
352,622
345,619
336,615
328,613
319,613
313,612
304,607
297,603
291,601
279,601
270,601
265,602
260,604
256,613
255,620
256,630
259,639
265,645
275,646
284,647
295,647
303,647
313,647
320,651
323,657
328,665
333,671
335,676
343,679
350,684
357,688
352,667
355,672
361,677
365,681
372,686
359,659
365,662
371,668
377,675
384,682
366,645
373,650
378,652
384,656
388,660
394,663
389,644
397,646
402,650
405,657
404,638
414,641
421,647
426,652
429,655
395,641
411,641
426,638
436,638
450,639
452,644
456,651
456,660
456,667
452,675
445,677
438,684
429,684
419,684
414,684
408,684
338,689
329,689
322,690
317,694
313,704
312,713
312,672
308,679
307,687
306,699
307,706
308,666
303,673
298,684
298,697
287,688
287,678
290,670
293,665
301,661
308,659
307,596
307,585
307,574
307,564
307,552
307,540
307,526
311,513
313,499
317,490
323,495
330,499
341,504
351,506
360,507
368,509
373,509
333,341
340,339
347,340
351,346
351,354
349,360
347,370
349,376
352,378
357,379
349,390
352,392
361,392
367,392
372,392
363,343
370,340
377,340
379,341
382,343
343,298
352,298
362,298
371,298
379,302
384,308
390,313
395,322
397,330
397,340
397,350
395,360
395,371
395,381
395,392
397,400
398,411
400,422
404,434
406,445
408,454
408,465
408,475
320,475
325,465
330,462
335,457
343,452
351,447
359,442
359,435
360,426
360,420
368,419
381,416
386,414
351,410
343,404
333,393
330,381
330,365
329,355
329,336
329,324
329,372
333,393
336,399
356,413
287,609
277,617
274,628
272,635
308,617
306,625
306,634
308,639
